customerid,amount,frequency,invoicedate,recency,cluster_id
12461.0,826.88,35,2011-09-06 16:57:00,93,0
12462.0,1124.01,72,2011-12-07 14:02:00,1,0
12463.0,1303.63,88,2011-10-24 13:43:00,45,0
12464.0,1212.05,29,2011-11-29 13:33:00,9,0
12465.0,733.89,51,2011-12-02 11:34:00,7,0
12468.0,724.0400000000001,40,2011-07-19 13:42:00,142,2
12471.0,18740.92,531,2011-12-07 15:43:00,1,0
12472.0,6229.48,391,2011-11-09 11:33:00,30,0
12473.0,2848.23,179,2011-11-10 13:48:00,28,0
12474.0,7116.47,457,2011-11-22 14:39:00,16,0
12475.0,723.38,36,2011-10-17 10:10:00,53,0
12476.0,6546.58,264,2011-12-08 14:08:00,0,0
12477.0,13117.01,308,2011-11-17 09:51:00,22,0
12478.0,680.99,36,2011-12-06 09:56:00,3,0
12479.0,477.3,35,2011-12-06 09:25:00,3,0
12480.0,3281.63,154,2011-11-11 14:52:00,27,0
12481.0,5590.86,218,2011-11-17 08:29:00,22,0
12483.0,2327.13,81,2011-11-22 17:03:00,16,0
12484.0,4495.27,350,2011-11-07 11:37:00,32,0
12488.0,1298.66,55,2011-11-30 08:50:00,9,0
12489.0,334.93,15,2011-01-07 13:13:00,335,2
12490.0,5417.93,245,2011-12-04 16:07:00,4,0
12491.0,460.40000000000003,26,2011-11-01 12:18:00,38,0
12492.0,263.21000000000004,20,2011-10-07 15:15:00,62,0
12493.0,416.79,23,2011-06-27 10:17:00,165,2
12494.0,1139.3500000000001,84,2011-11-30 09:21:00,9,0
12497.0,1043.1,14,2011-09-19 12:29:00,81,0
12498.0,403.70000000000005,23,2011-11-18 12:53:00,20,0
12500.0,4206.27,65,2011-11-16 16:20:00,22,0
12501.0,2089.68,160,2011-01-28 13:54:00,314,2
12502.0,3723.87,147,2011-09-05 11:52:00,95,0
12503.0,-1126.0,1,2011-01-06 11:51:00,337,2
12504.0,114.0,15,2011-11-21 16:02:00,17,0
12505.0,-4.5,1,2011-02-11 13:39:00,300,2
12506.0,73.5,23,2011-04-21 08:54:00,232,2
12507.0,1258.06,23,2011-07-28 17:09:00,133,0
12508.0,398.27,69,2011-11-13 15:37:00,25,0
12509.0,176.5,7,2011-02-28 14:45:00,283,2
12510.0,982.5699999999999,33,2011-07-20 10:15:00,142,2
12512.0,138.03,34,2011-10-04 14:55:00,65,0
12513.0,586.79,36,2011-09-16 12:45:00,84,0
12514.0,1017.68,51,2011-03-17 16:38:00,266,2
12515.0,383.7,16,2010-12-21 15:43:00,352,2
12516.0,1312.06,26,2011-09-23 09:13:00,77,0
12517.0,2464.89,286,2011-11-11 14:04:00,27,0
12518.0,2056.89,124,2011-12-09 10:13:00,0,0
12519.0,340.84,18,2011-10-07 09:26:00,63,0
12520.0,2582.51,155,2011-09-21 15:23:00,78,0
12521.0,599.68,38,2011-07-20 10:51:00,142,2
12522.0,192.72,12,2011-10-31 15:30:00,38,0
12523.0,1745.57,110,2011-12-08 11:46:00,1,0
12524.0,4485.72,144,2011-11-30 15:31:00,8,0
12526.0,1316.66,71,2011-12-09 12:09:00,0,0
12527.0,348.71000000000004,18,2011-09-19 11:55:00,81,0
12528.0,1922.28,95,2011-11-30 14:40:00,8,0
12530.0,1623.63,68,2011-10-11 12:34:00,59,0
12531.0,125.22,17,2011-11-25 11:12:00,14,0
12532.0,349.83000000000004,16,2011-11-09 13:47:00,29,0
12534.0,1089.18,63,2011-08-01 10:26:00,130,0
12535.0,716.35,34,2011-09-09 08:48:00,91,0
12536.0,4106.82,273,2011-12-02 12:43:00,7,0
12538.0,363.95,21,2011-11-10 17:16:00,28,0
12539.0,3852.5,274,2011-11-17 13:30:00,21,0
12540.0,13309.039999999999,481,2011-11-20 11:31:00,19,0
12541.0,981.18,52,2011-11-10 10:40:00,29,0
12544.0,355.7,20,2011-11-10 11:12:00,29,0
12545.0,1000.39,50,2011-09-25 13:39:00,74,0
12546.0,1141.5,70,2011-10-24 12:09:00,46,0
12547.0,207.79999999999998,8,2011-05-26 12:38:00,197,2
12548.0,95.19999999999999,5,2011-06-26 15:35:00,165,2
12550.0,964.83,57,2011-09-21 14:35:00,78,0
12551.0,168.0,10,2010-12-17 11:23:00,357,2
12552.0,437.82,20,2011-11-01 10:02:00,38,0
12553.0,3652.25,196,2011-12-01 16:38:00,7,0
12556.0,603.71,121,2011-10-20 13:06:00,49,0
12557.0,11990.960000000001,33,2011-11-23 16:59:00,15,0
12558.0,1.0658141036401503e-14,22,2011-12-08 10:14:00,1,0
12559.0,536.21,22,2011-02-02 09:49:00,310,2
12560.0,2101.39,111,2011-12-04 13:54:00,4,0
12561.0,238.85,16,2011-02-10 11:39:00,302,2
12562.0,3781.7400000000002,168,2011-12-01 17:20:00,7,0
12564.0,456.9,21,2011-03-23 14:55:00,260,2
12565.0,131.17,10,2011-03-03 11:43:00,281,2
12566.0,346.7,20,2011-09-28 09:57:00,72,0
12567.0,9114.94,463,2011-11-17 11:02:00,22,0
12569.0,4064.9900000000002,191,2011-12-07 16:24:00,1,0
12571.0,519.61,34,2011-10-31 10:19:00,39,0
12572.0,1004.72,62,2011-12-01 09:20:00,8,0
12573.0,160.54000000000002,28,2011-04-26 15:52:00,226,2
12574.0,218.45,11,2011-01-28 09:20:00,315,2
12576.0,1306.98,89,2011-11-04 10:11:00,35,0
12577.0,595.4,148,2011-11-04 13:28:00,34,0
12578.0,2753.36,120,2011-11-18 13:30:00,20,0
12579.0,410.72,31,2011-09-27 13:57:00,72,0
12580.0,415.7,24,2011-04-07 10:24:00,246,2
12581.0,197.71,15,2011-10-31 08:56:00,39,0
12582.0,511.36,22,2011-04-15 08:45:00,238,2
12583.0,7187.34,251,2011-12-07 08:07:00,2,0
12584.0,1893.95,126,2011-12-06 09:35:00,3,0
12585.0,1982.81,97,2011-04-19 13:39:00,233,2
12586.0,179.94000000000003,12,2011-11-22 16:24:00,16,0
12587.0,144.0,4,2011-12-02 12:47:00,7,0
12588.0,214.89999999999998,10,2011-10-31 15:01:00,38,0
12589.0,646.68,35,2011-11-11 10:19:00,28,0
12590.0,9861.38,70,2011-06-02 14:25:00,189,2
12591.0,452.84999999999997,26,2011-01-26 14:35:00,316,2
12592.0,437.6,18,2011-09-08 15:04:00,91,0
12593.0,418.09999999999997,21,2011-08-23 12:43:00,108,0
12594.0,3320.2200000000003,119,2011-11-02 12:20:00,37,0
12596.0,618.27,27,2011-10-19 13:02:00,50,0
12597.0,3683.13,214,2011-11-20 13:33:00,18,0
12598.0,3002.68,133,2011-11-30 12:18:00,9,0
12599.0,1032.58,62,2011-11-10 13:34:00,28,0
12600.0,2581.04,65,2011-11-11 10:29:00,28,0
12601.0,569.5600000000001,29,2011-06-03 10:17:00,189,2
12602.0,153.12,12,2011-10-12 11:22:00,58,0
12603.0,739.1999999999999,3,2011-11-18 10:42:00,21,0
12604.0,254.18,16,2011-09-21 14:08:00,78,0
12605.0,-7.5,3,2010-12-09 15:41:00,364,2
12607.0,3.552713678800501e-15,202,2011-10-12 16:17:00,57,0
12609.0,1126.85,60,2011-09-22 16:34:00,77,0
12610.0,2057.99,111,2011-11-17 09:34:00,22,0
12611.0,1193.32,65,2011-10-18 13:12:00,51,0
12612.0,643.59,21,2011-10-13 12:12:00,57,0
12613.0,3218.98,163,2011-11-08 13:30:00,30,0
12614.0,315.6,20,2011-03-07 10:22:00,277,2
12615.0,2291.19,105,2011-12-07 15:02:00,1,0
12616.0,657.25,36,2011-09-15 17:02:00,84,0
12617.0,355.53,42,2011-11-10 14:39:00,28,0
12618.0,177.31,11,2011-11-18 11:10:00,21,0
12619.0,3214.81,95,2011-11-23 14:52:00,15,0
12620.0,1339.41,92,2011-11-25 10:20:00,14,0
12621.0,13612.07,474,2011-12-08 11:25:00,1,0
12622.0,180.1,11,2011-04-21 16:39:00,231,2
12623.0,305.1,18,2011-03-08 13:50:00,275,2
12624.0,641.13,38,2011-08-25 15:04:00,105,0
12625.0,2614.32,91,2011-05-12 09:54:00,211,2
12626.0,6388.35,307,2011-11-16 16:06:00,22,0
12627.0,4478.53,230,2011-11-29 12:07:00,10,0
12628.0,769.61,43,2011-12-05 13:15:00,3,0
12630.0,1270.88,64,2011-11-30 10:48:00,9,0
12631.0,640.5,31,2011-10-13 13:53:00,56,0
12633.0,2140.63,103,2011-10-12 11:40:00,58,0
12635.0,1689.18,101,2011-09-11 11:04:00,89,0
12637.0,5953.25,394,2011-10-03 13:46:00,66,0
12638.0,671.69,39,2011-11-06 13:11:00,32,0
12639.0,486.1,22,2011-04-15 12:48:00,238,2
12640.0,1174.58,53,2011-11-16 11:52:00,23,0
12641.0,185.9,10,2011-08-16 13:26:00,114,0
12642.0,1013.26,47,2011-11-14 15:03:00,24,0
12643.0,3344.64,24,2011-08-03 12:56:00,127,0
12644.0,477.91,31,2011-08-02 10:33:00,129,0
12645.0,1755.38,74,2011-11-06 12:38:00,33,0
12646.0,1346.97,45,2011-12-05 10:14:00,4,0
12647.0,3669.92,128,2011-11-17 12:56:00,21,0
12648.0,318.05,21,2011-07-08 11:55:00,154,2
12649.0,603.71,33,2011-08-24 14:41:00,106,0
12650.0,314.44,20,2011-12-06 16:34:00,2,0
12651.0,114.0,9,2011-01-09 12:46:00,334,2
12652.0,914.53,51,2011-01-21 17:01:00,321,2
12653.0,2209.85,43,2011-07-14 10:41:00,148,2
12654.0,601.98,38,2011-11-29 10:10:00,10,0
12656.0,3982.72,130,2011-11-22 13:42:00,16,0
12657.0,1152.06,56,2011-11-28 15:47:00,10,0
12658.0,686.05,36,2011-11-21 10:22:00,18,0
12659.0,91.68,5,2011-11-10 11:53:00,29,0
12660.0,245.1,13,2011-11-28 13:26:00,10,0
12662.0,3817.08,232,2011-12-09 11:59:00,0,0
12664.0,4863.88,38,2011-12-01 17:07:00,7,0
12665.0,61.75,4,2011-01-19 08:34:00,324,2
12666.0,-227.44,2,2010-12-15 14:42:00,358,2
12667.0,620.13,33,2011-10-12 17:00:00,57,0
12668.0,3743.18,168,2011-12-02 15:10:00,6,0
12669.0,1607.73,102,2011-07-12 09:54:00,150,2
12670.0,2986.15,94,2011-11-29 15:23:00,9,0
12672.0,225.89999999999998,10,2011-01-14 09:20:00,329,2
12673.0,610.52,42,2011-12-04 13:55:00,4,0
12674.0,1919.31,91,2011-11-28 12:22:00,11,0
12676.0,1331.39,45,2011-11-15 12:25:00,24,0
12678.0,17588.26,167,2011-10-28 13:04:00,41,0
12679.0,1058.67,56,2011-10-18 13:43:00,51,0
12680.0,862.81,52,2011-12-09 12:50:00,0,0
12681.0,13677.59,646,2011-11-25 11:35:00,14,0
12682.0,12288.22,525,2011-12-06 10:00:00,3,0
12683.0,8221.09,362,2011-12-05 16:31:00,3,0
12684.0,2283.63,105,2011-12-02 09:53:00,7,0
12685.0,2863.08,157,2011-11-11 13:46:00,27,0
12686.0,89.14,7,2010-12-03 09:51:00,371,2
12688.0,4873.8099999999995,171,2011-08-18 08:49:00,113,0
12689.0,1247.61,72,2011-11-14 08:31:00,25,0
12690.0,389.01,16,2011-05-18 09:09:00,205,2
12691.0,1035.8,32,2011-11-11 16:49:00,27,0
12693.0,830.96,41,2011-08-11 09:16:00,120,0
12694.0,869.67,37,2011-09-30 13:06:00,69,0
12695.0,582.1,27,2011-12-02 13:22:00,6,0
12697.0,939.02,43,2011-11-18 16:17:00,20,0
12700.0,4867.99,270,2011-12-02 10:49:00,7,0
12701.0,797.71,53,2011-09-21 10:47:00,79,0
12702.0,219.0,12,2011-11-20 10:36:00,19,0
12703.0,274.7,22,2011-10-06 19:23:00,63,0
12704.0,2220.84,90,2011-12-02 13:15:00,6,0
12705.0,6814.24,348,2011-11-24 13:17:00,14,0
12707.0,603.42,33,2011-02-21 08:38:00,291,2
12708.0,2616.32,174,2011-11-10 09:52:00,29,0
12709.0,9294.1,257,2011-12-06 16:42:00,2,0
12710.0,1130.57,79,2011-09-04 12:00:00,96,0
12712.0,4241.63,142,2011-11-17 09:15:00,22,0
12713.0,848.55,38,2011-12-09 12:16:00,0,0
12714.0,4708.86,259,2011-11-30 15:43:00,8,0
12715.0,353.86,21,2011-08-25 15:22:00,105,0
12716.0,1053.49,69,2011-12-06 08:55:00,3,0
12717.0,980.98,56,2011-07-11 14:51:00,150,2
12718.0,238.25,19,2011-09-29 16:38:00,70,0
12719.0,608.1,42,2011-12-04 13:45:00,4,0
12720.0,5713.28,359,2011-12-07 08:03:00,2,0
12721.0,2628.98,164,2011-11-08 12:13:00,31,0
12722.0,904.33,57,2011-09-15 14:50:00,84,0
12723.0,725.07,69,2011-12-06 10:19:00,3,0
12724.0,1031.41,53,2011-12-04 16:02:00,4,0
12725.0,427.8,24,2010-12-03 15:45:00,370,2
12726.0,2609.1,124,2011-11-11 13:35:00,27,0
12727.0,3947.7,141,2011-11-29 11:46:00,10,0
12728.0,836.33,46,2011-09-29 15:31:00,70,0
12729.0,453.01,26,2011-08-18 11:40:00,113,0
12731.0,18793.41,277,2011-11-16 11:59:00,23,0
12732.0,236.26000000000002,12,2011-06-13 11:33:00,179,2
12733.0,383.95,22,2011-04-19 16:19:00,233,2
12734.0,110.39999999999999,4,2010-12-22 12:47:00,352,2
12735.0,779.5699999999999,43,2011-01-28 13:37:00,314,2
12736.0,234.0,4,2011-01-11 07:57:00,332,2
12738.0,155.35,11,2010-12-02 18:27:00,371,2
12739.0,1013.04,38,2011-09-22 13:00:00,77,0
12740.0,427.6,27,2011-10-07 10:44:00,63,0
12743.0,546.43,134,2011-07-28 16:21:00,133,0
12744.0,9120.39,229,2011-10-19 11:18:00,51,0
12747.0,4196.01,103,2011-12-07 14:34:00,1,0
12748.0,29072.1,4642,2011-12-09 12:20:00,0,1
12749.0,3868.2,231,2011-12-06 09:56:00,3,0
12750.0,275.88,15,2011-08-03 09:13:00,128,0
12752.0,4366.78,53,2011-09-19 13:32:00,80,0
12753.0,21024.01,230,2011-12-06 11:40:00,3,0
12754.0,2949.12,65,2011-04-18 09:00:00,235,2
12755.0,2203.2,6,2011-04-04 10:12:00,249,2
12756.0,112.07999999999998,4,2011-09-14 09:31:00,86,0
12757.0,4227.7,377,2011-11-24 12:30:00,15,0
12758.0,2791.59,97,2011-08-15 10:22:00,116,0
12759.0,1531.44,95,2011-10-18 14:49:00,51,0
12762.0,1898.52,69,2011-12-02 10:23:00,7,0
12763.0,494.08,18,2011-07-24 14:12:00,137,0
12764.0,1693.88,45,2011-01-27 10:19:00,316,2
12766.0,6989.63,310,2011-12-06 08:46:00,3,0
12769.0,1143.6,32,2011-04-15 10:25:00,238,2
12770.0,1351.45,12,2011-05-13 09:33:00,210,2
12772.0,892.47,55,2011-10-11 09:19:00,59,0
12775.0,1351.24,67,2011-11-22 16:33:00,16,0
12778.0,804.23,51,2011-11-20 11:39:00,19,0
12779.0,3868.7,159,2011-11-18 17:10:00,20,0
12781.0,707.72,30,2011-11-18 15:45:00,20,0
12782.0,2273.32,107,2011-12-05 09:16:00,4,0
12783.0,1603.87,86,2011-12-07 15:56:00,1,0
12784.0,574.42,59,2011-11-30 15:38:00,8,0
12785.0,305.71,15,2011-12-07 12:46:00,2,0
12787.0,463.66,20,2011-11-30 08:44:00,9,0
12789.0,91.85,4,2011-10-05 13:34:00,64,0
12790.0,324.92,21,2011-05-31 14:14:00,191,2
12791.0,192.60000000000002,2,2010-12-01 11:27:00,373,2
12792.0,400.53999999999996,25,2011-03-28 11:36:00,256,2
12793.0,545.48,24,2011-01-09 12:12:00,334,2
12794.0,860.41,45,2011-10-17 14:54:00,52,0
12795.0,430.48,14,2011-11-21 10:27:00,18,0
12797.0,194.18,17,2010-12-14 16:24:00,359,2
12798.0,6977.04,8,2011-11-29 15:52:00,9,0
12802.0,412.58,26,2011-06-09 09:44:00,183,2
12808.0,483.65000000000003,28,2011-11-03 10:05:00,36,0
12809.0,484.36,26,2011-06-24 15:15:00,167,2
12811.0,514.85,31,2011-03-24 09:42:00,260,2
12812.0,229.64000000000001,15,2011-10-26 09:54:00,44,0
12814.0,125.92,2,2011-08-30 12:11:00,101,0
12815.0,1063.46,47,2011-07-15 10:21:00,147,2
12816.0,572.2,29,2011-09-05 12:41:00,95,0
12817.0,166.04,4,2011-03-03 16:28:00,280,2
12818.0,1517.88,16,2011-06-14 13:54:00,177,2
12820.0,942.34,59,2011-12-06 15:12:00,2,0
12821.0,92.72,6,2011-05-09 15:51:00,213,2
12822.0,918.98,47,2011-09-30 10:04:00,70,0
12823.0,1759.5,5,2011-09-26 07:35:00,74,0
12824.0,397.12,25,2011-10-11 12:49:00,59,0
12826.0,1468.1200000000001,94,2011-12-07 10:25:00,2,0
12827.0,430.15000000000003,25,2011-12-04 12:17:00,5,0
12828.0,1018.71,56,2011-12-07 08:45:00,2,0
12829.0,253.05,12,2011-01-21 12:56:00,321,2
12830.0,6748.4,39,2011-11-02 11:54:00,37,0
12831.0,215.05,9,2011-03-22 13:02:00,261,2
12832.0,383.03,27,2011-11-07 13:30:00,31,0
12833.0,417.38,24,2011-07-17 13:46:00,144,2
12834.0,312.38,18,2011-03-02 09:49:00,282,2
12836.0,2612.86,175,2011-10-11 15:10:00,58,0
12837.0,134.1,12,2011-06-19 16:07:00,172,2
12838.0,683.13,123,2011-11-06 12:20:00,33,0
12839.0,5583.62,316,2011-12-07 12:33:00,2,0
12840.0,2714.27,116,2011-07-19 09:29:00,143,0
12841.0,3876.4,439,2011-12-05 11:13:00,4,0
12842.0,1118.99,34,2011-09-30 15:33:00,69,0
12843.0,1680.76,108,2011-10-05 12:09:00,65,0
12844.0,325.96000000000004,52,2011-11-10 13:31:00,28,0
12845.0,354.09,27,2011-03-17 13:34:00,266,2
12847.0,871.54,91,2011-11-17 13:16:00,21,0
12849.0,1050.8899999999999,51,2011-11-08 13:41:00,30,0
12851.0,135.18,50,2011-09-04 12:41:00,96,0
12852.0,299.75,20,2011-02-22 14:56:00,289,2
12853.0,1881.7,84,2011-08-24 11:00:00,107,0
12854.0,1289.15,115,2011-09-22 12:15:00,78,0
12855.0,38.1,3,2010-12-02 09:37:00,372,2
12856.0,2162.68,317,2011-12-02 10:52:00,7,0
12857.0,1106.4,46,2011-05-13 10:20:00,210,2
12863.0,504.2,6,2011-10-18 14:15:00,51,0
12864.0,147.12,3,2011-07-24 13:03:00,137,2
12865.0,1548.07,96,2011-11-13 14:31:00,25,0
12866.0,559.12,26,2011-03-01 14:11:00,282,2
12867.0,3986.22,551,2011-11-13 15:30:00,25,0
12868.0,1607.0600000000002,107,2011-06-07 10:42:00,185,2
12870.0,-14.899999999999999,2,2010-12-08 14:27:00,365,2
12871.0,380.64,11,2011-09-16 15:07:00,83,0
12872.0,599.97,66,2011-01-17 10:52:00,326,2
12873.0,374.0,4,2011-03-02 14:58:00,281,2
12875.0,343.2300000000001,2,2011-07-19 15:30:00,142,2
12876.0,2218.02,85,2011-10-13 12:26:00,57,0
12877.0,1535.77,154,2011-12-06 10:30:00,3,0
12878.0,841.64,49,2011-11-21 14:30:00,17,0
12879.0,552.5699999999999,12,2011-10-26 12:24:00,44,0
12881.0,298.0,7,2011-03-09 11:44:00,275,2
12882.0,1463.04,13,2011-11-30 16:18:00,8,0
12883.0,703.47,42,2011-11-15 09:32:00,24,0
12884.0,309.05,7,2011-09-12 13:10:00,87,0
12885.0,1158.27,72,2011-10-07 13:40:00,62,0
12886.0,1351.09,86,2011-10-03 10:09:00,67,0
12888.0,313.77,7,2011-05-09 16:02:00,213,2
12890.0,380.46999999999997,82,2011-11-15 17:26:00,23,0
12891.0,331.0,3,2011-06-07 12:31:00,185,2
12893.0,188.14,34,2011-11-09 12:34:00,30,0
12895.0,347.3,24,2011-10-28 13:51:00,41,0
12897.0,216.5,4,2011-05-19 12:13:00,204,2
12901.0,16293.1,125,2011-12-01 10:07:00,8,0
12902.0,138.68,10,2011-03-20 12:06:00,264,2
12904.0,509.58,72,2011-11-21 14:34:00,17,0
12906.0,2919.81,63,2011-11-28 09:55:00,11,0
12908.0,246.0,4,2011-10-12 10:11:00,58,0
12909.0,2128.83,96,2011-10-31 12:43:00,39,0
12910.0,3075.04,75,2011-11-16 14:28:00,22,0
12912.0,1662.3,24,2011-12-07 08:55:00,2,0
12913.0,2483.63,50,2011-12-05 12:11:00,4,0
12915.0,363.65,22,2011-07-14 11:34:00,148,2
12916.0,2982.35,109,2011-07-24 10:35:00,138,0
12917.0,594.0,2,2011-08-03 16:42:00,127,0
12919.0,1301.44,52,2011-12-01 13:47:00,7,0
12920.0,164.23,28,2011-11-22 15:05:00,16,0
12921.0,16389.74,741,2011-12-06 09:56:00,3,0
12922.0,405.38,28,2011-07-01 15:35:00,160,2
12923.0,176.97,29,2011-10-06 16:20:00,63,0
12924.0,929.95,31,2011-09-12 13:55:00,87,0
12925.0,694.05,45,2011-12-05 11:11:00,4,0
12928.0,2062.7000000000003,84,2011-11-04 14:24:00,34,0
12929.0,105.1,9,2011-08-09 14:30:00,121,0
12930.0,409.9,27,2011-09-22 15:18:00,77,0
12931.0,33462.81,102,2011-11-18 12:39:00,21,0
12933.0,606.28,107,2011-11-15 16:38:00,23,0
12935.0,2156.45,130,2011-12-07 17:25:00,1,0
12936.0,1012.9,63,2011-11-22 17:32:00,16,0
12937.0,1504.27,120,2011-11-24 15:05:00,14,0
12938.0,114.14,9,2011-11-14 11:21:00,25,0
12939.0,11581.8,47,2011-10-06 14:33:00,63,0
12940.0,876.29,103,2011-10-24 14:04:00,45,0
12942.0,683.9,75,2011-07-31 14:39:00,130,0
12943.0,-3.75,1,2011-02-11 15:13:00,300,2
12944.0,604.51,30,2011-11-04 11:04:00,35,0
12945.0,462.95,23,2011-02-24 14:15:00,287,2
12947.0,1407.29,103,2011-07-19 10:06:00,143,0
12948.0,2053.7,118,2011-11-23 17:10:00,15,0
12949.0,4143.02,219,2011-11-09 11:25:00,30,0
12950.0,1843.0,23,2011-12-07 13:17:00,1,0
12951.0,1042.07,65,2011-12-01 12:14:00,8,0
12952.0,1382.8400000000001,80,2011-12-04 10:35:00,5,0
12953.0,329.85,17,2011-11-30 09:24:00,9,0
12955.0,4734.26,183,2011-12-08 16:29:00,0,0
12956.0,108.07,19,2011-02-06 16:08:00,305,2
12957.0,3979.04,244,2011-12-05 16:32:00,3,0
12962.0,266.39,16,2011-12-02 15:55:00,6,0
